Day	Month	Year	Qty	Unit Price	Rep ID	Region	Product	Amount
2	1	2019	12	5	E011	North	Product A	60
5	1	2019	8	10	E011	North	Product B	80
9	1	2019	15	8	E011	North	Product C	120
12	1	2019	20	5	E011	North	Product D	100
15	2	2019	18	15	E012	South	Product B	270
18	2	2019	10	10	E012	South	Product A	100
22	2	2019	25	8	E012	South	Product C	200
25	2	2019	7	5	E012	South	Product D	35
1	3	2019	30	15	E013	East	Product B	450
4	3	2019	16	10	E013	East	Product A	160
8	3	2019	14	8	E013	East	Product C	112
11	3	2019	9	5	E013	East	Product D	45
15	4	2019	22	15	E014	West	Product B	330
18	4	2019	11	10	E014	West	Product A	110
21	4	2019	13	8	E014	West	Product C	104
24	4	2019	6	5	E014	West	Product D	30
2	5	2019	28	15	E015	North	Product B	420
5	5	2019	17	10	E015	North	Product A	170
9	5	2019	19	8	E015	North	Product C	152
12	5	2019	10	5	E015	North	Product D	50
16	6	2019	24	15	E016	South	Product B	360
19	6	2019	20	10	E016	South	Product A	200
22	6	2019	12	8	E016	South	Product C	96
26	6	2019	8	5	E016	South	Product D	40
3	7	2019	26	15	E017	East	Product B	390
7	7	2019	21	10	E017	East	Product A	210
11	7	2019	15	8	E017	East	Product C	120
14	7	2019	9	5	E017	East	Product D	45
18	8	2019	27	15	E018	West	Product B	405
22	8	2019	14	10	E018	West	Product A	140
